propertyId,postalCode,typeOfProperty,subtypeOfProperty,price,typeOfSale,numberOfRooms,livingArea,equippedKitchen,furnished,openFire,garden,surfaceOfGood,numberOfFacades,swimmingPool,stateOfBuilding,terraceSurface,hasBasement,hasDisabledAccess,hasLift,livingRoomSurface,electricalInstallationCertificate,gScore,heatingType,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,hasDoubleGlazing,epcScore,primaryEnergyConsumptionPerSqm,renovationObligation,cadastralIncome,parkingCountIndoor,parkingCountOutdoor
20409389,1140,1,18,374999,0,9,110.0,3,0,0,0,110.0,4,0,2,12,1,1,1,32,1,-1,0,0,0,0,1,4,200,-1,2175,1,0
20409391,8400,1,1,980000,0,9,140.0,-1,0,0,0,140.0,-1,0,1,0,-1,-1,1,0,1,0,-1,0,0,0,-1,2,147,0,1546,0,0
20409487,2180,0,12,348000,0,5,0.0,-1,0,0,96,192.0,1,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,1,2,-1,0,1152,1,1
20409567,9970,0,0,195000,0,5,0.0,-1,0,0,-1,328.0,3,0,3,0,-1,0,0,0,1,0,1,-1,-1,-1,-1,6,834,1,-1,0,0
20409601,9120,1,1,230000,0,4,108.0,1,0,0,0,108.0,2,0,0,0,-1,0,1,0,-1,0,0,-1,-1,-1,-1,3,260,0,966,0,1
20409607,9420,0,0,379000,0,4,180.0,-1,0,0,460,618.0,4,0,1,21,-1,0,0,35,1,0,3,-1,-1,-1,1,5,488,1,870,1,1
20409624,1150,0,0,435000,0,3,145.0,-1,0,0,200,284.0,2,0,3,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0
20409645,2100,1,1,239000,0,5,86.0,1,0,0,0,86.0,2,0,2,6,1,0,0,20,1,-1,0,0,0,0,1,2,165,0,488,0,0
20409663,9770,1,1,235000,0,1,60.0,-1,0,0,37,60.0,4,0,1,11,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
20409739,1040,1,1,315000,0,4,83.0,-1,0,0,0,83.0,-1,0,1,0,1,0,1,0,1,-1,-1,0,0,0,1,-1,-1,-1,-1,0,0
20409765,3990,1,1,314450,0,3,90.0,-1,0,0,0,90.0,-1,0,-1,20,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
20409766,3990,1,22,608550,0,5,135.0,3,0,0,0,135.0,-1,0,-1,57,-1,-1,1,0,-1,2,-1,-1,1,-1,1,-1,-1,-1,-1,0,0
20409803,9050,0,0,224990,0,1,88.0,-1,0,0,-1,42.0,4,0,1,6,-1,0,0,28,-1,-1,-1,-1,-1,-1,0,5,-1,1,325,0,0
20409804,3650,0,0,399000,0,1,226.0,-1,0,0,460,682.0,4,0,1,12,-1,0,0,0,-1,2,1,-1,0,0,1,4,334,0,1489,2,3
20409808,4760,0,0,275000,0,1,195.0,1,0,0,1,1413.0,6,0,3,28,1,0,0,34,1,-1,1,0,1,0,1,4,-1,-1,638,1,3
20409813,1200,0,0,750000,0,12,270.0,3,0,0,100,225.0,2,0,0,24,1,1,0,21,-1,-1,0,-1,-1,-1,-1,-1,404,-1,-1,0,0
20409815,3000,0,0,599000,0,7,144.0,2,0,0,-1,65.0,2,0,-1,20,1,0,0,0,1,0,0,-1,-1,-1,1,3,286,0,523,0,0
20409816,3945,0,0,249000,0,6,195.0,-1,0,0,-1,1500.0,3,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,-1,6,508,1,721,0,0
20409823,7780,0,0,550000,0,5,0.0,-1,0,0,-1,325.0,4,0,2,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0
20409824,7500,1,21,84000,0,2,33.0,0,0,0,0,33.0,2,0,1,6,-1,1,1,0,1,-1,0,-1,-1,-1,-1,2,170,-1,619,0,0
20409838,6230,0,0,390000,0,5,145.0,-1,0,0,450,600.0,2,0,1,40,-1,0,0,0,1,-1,1,-1,-1,-1,1,3,249,-1,684,1,3
20409841,9031,0,0,655000,0,5,205.0,-1,0,0,568,568.0,3,0,2,0,-1,0,0,0,-1,-1,-1,1,0,0,1,-1,-1,-1,-1,1,2
20409885,6150,0,0,249000,0,7,218.0,1,0,0,-1,466.0,3,0,4,0,1,0,0,30,-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,1,0
20409891,7000,0,4,125000,0,5,80.0,1,0,0,-1,300.0,4,0,2,0,-1,0,0,30,1,-1,0,-1,-1,-1,1,4,309,-1,359,0,2
20409973,4218,0,0,135000,0,5,130.0,0,0,0,2450,2700.0,4,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,188816,-1,-1,0,0
20409980,1040,1,1,215000,0,1,48.0,2,0,0,0,48.0,2,0,1,0,1,0,0,0,1,-1,0,0,0,0,-1,-1,599,-1,655,0,0
20410005,8790,0,0,399000,0,7,232.0,1,0,0,120,461.0,3,0,2,27,-1,0,0,30,1,-1,3,0,1,0,1,3,298,0,956,2,3
