id,subtype,bedroomCount,postCode,habitableSurface,hasDressingRoom,buildingCondition,buildingConstructionYear,facedeCount,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,kitchenType,landSurface,parkingCountOutdoor,hasOffice,toiletCount,hasSwimmingPool,hasFireplace,terraceSurface,price,epc_kwh
20624852,347187,3,3454,166,0,337048,1980,3,1,1,0,336419,900,0,0,2,0,0,0,634107,225
20656025,309460,1,3454,55,0,347917,1975,2,0,0,0,336419,0,0,0,1,0,0,1,199000,225
20658248,309460,2,3454,62,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,165000,500
10768347,359252,3,3454,166,0,337048,1900,3,0,0,0,336419,0,0,0,2,0,0,0,279500,150
20404245,525692,3,3454,170,0,279630,1976,4,0,0,0,422399,540,0,0,2,0,0,0,395000,225
20590256,309460,1,3454,51,0,337048,2012,3,0,0,0,336419,0,0,0,1,0,0,5,428000,75
20649035,466707,2,3454,55,0,395196,1980,2,0,0,0,429914,0,0,0,2,0,0,35,375000,225
20637204,347187,3,3454,274,0,266634,1983,4,0,0,0,336419,840,1,0,2,0,0,0,649000,500
20642693,309460,3,3454,36,0,279630,1978,1,0,0,0,336419,0,0,0,1,0,0,0,192000,225
20573098,347187,3,3454,150,0,266634,1969,3,0,0,0,270162,430,0,0,3,0,0,0,275000,500
20395810,309460,2,3454,90,0,395196,2023,3,0,0,0,336419,0,0,0,1,0,0,0,395000,75
20640796,309460,2,3454,80,0,395196,2016,3,0,0,0,429914,0,0,0,2,0,0,8,398000,225
20224619,175424,3,3454,40,0,337048,1980,2,0,0,0,270162,0,0,0,1,0,0,0,95000,300
20640816,309460,2,3454,80,0,395196,1980,2,0,0,0,349066,0,0,0,1,0,0,0,410000,225
20420662,309460,2,3454,95,0,395196,2019,2,0,0,0,336419,0,1,0,2,0,0,0,365000,75
20514366,222262,5,3454,200,0,266634,1910,2,0,0,0,336419,88,0,0,3,0,0,0,375000,500
1882546,152663,2,3454,55,0,395196,2024,4,0,0,0,349066,155,2,0,1,0,0,10,148000,225
20374571,328965,3,3454,100,0,337048,2002,3,0,0,0,336419,153,1,0,1,0,0,0,265000,400
20538581,309460,1,3454,46,0,395196,1995,2,0,0,0,429914,0,0,0,1,0,0,0,198500,225
20625125,175424,3,3454,45,0,347917,1966,3,0,0,0,429914,0,0,0,1,0,0,1,225000,225
20524214,309460,1,3454,50,0,395196,1963,2,0,0,0,349066,0,0,0,1,0,0,0,155000,150
20432428,175424,3,3454,40,0,395196,1986,2,0,0,0,336419,0,0,0,1,0,0,0,238000,225
20613837,309460,2,3454,80,0,395196,1998,2,0,0,0,349066,0,0,0,1,0,0,1,339000,225
20574449,309460,2,3454,70,0,395196,1976,2,0,0,0,349066,0,0,0,1,0,0,1,475000,225
20565871,347187,3,3454,172,0,395196,1957,3,0,0,1,336419,151,1,0,4,0,0,1,399000,225
20523462,175424,1,3454,31,0,266634,1980,2,0,0,0,336419,0,0,0,1,0,0,20,60000,300
11002065,328965,2,3454,70,0,266634,1967,4,0,0,0,336419,530,2,0,1,0,0,0,215000,500
20506711,309460,2,3454,91,1,395196,1992,2,0,0,0,429914,0,0,0,1,0,0,1,320000,225
20211836,309460,2,3454,91,0,395196,1989,3,0,0,0,422399,0,0,0,1,0,0,1,279500,300
20475562,309460,1,3454,45,0,347917,1966,3,0,0,0,429914,0,0,0,1,0,0,0,210000,225
20209107,359252,3,3454,100,0,395196,1978,2,0,0,0,336419,0,0,0,1,0,0,1,320000,500
20546240,309460,2,3454,70,0,395196,1976,2,0,0,0,336419,0,0,0,1,0,0,1,399500,225
20050790,309460,2,3454,93,0,395196,1996,2,0,0,0,349066,0,0,0,1,0,0,1,399500,150
20344153,309460,2,3454,62,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,165000,500
20406281,309460,2,3454,62,0,337048,1980,3,0,0,0,336419,0,0,1,1,0,0,0,165000,500
20379981,309460,1,3454,55,0,395196,1980,2,1,0,0,336419,0,1,0,1,0,0,0,195000,225
11484598,309460,2,3454,75,0,395196,1980,2,0,0,0,349066,0,0,0,1,0,0,0,259000,225
20066495,309460,2,3454,70,0,395196,1998,4,0,0,0,349066,0,0,0,1,0,0,1,275000,225
20344044,309460,1,3454,44,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,140000,500
11006808,309460,2,3454,85,0,395196,1978,4,0,0,0,422399,0,0,0,1,0,0,0,375000,150
20051938,175424,3,3454,40,0,347917,1980,3,0,0,0,349066,0,0,0,1,0,0,0,185000,400
20485569,309460,3,3454,130,0,337048,2024,2,0,1,0,336419,0,0,0,2,0,0,6,445000,225
20332240,175424,3,3454,30,0,395196,1988,2,0,0,0,349066,0,0,0,1,0,0,0,126000,225
20064260,347187,3,3454,126,0,395196,2024,3,0,1,0,336419,0,0,0,2,0,0,11,437000,225
20464019,309460,2,3454,98,0,337048,2000,3,0,0,0,336419,0,0,0,1,0,0,0,429000,225
20539655,347187,4,2778,264,1,337048,2022,3,0,1,0,336419,340,2,1,2,0,0,30,685000,75
20438010,525692,4,2778,248,0,279630,1992,4,0,0,0,336419,891,0,0,2,0,0,0,575000,300
20578935,347187,3,2778,114,0,395196,2001,3,0,0,0,336419,0,0,0,1,0,0,0,390000,225
20638050,309460,2,3395,89,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,359000,150
20432519,309460,2,3395,77,0,337048,1992,3,0,0,0,336419,0,0,0,1,0,0,0,349000,150
20620362,347187,4,3395,150,0,266634,1980,2,0,0,0,336419,172,0,0,1,0,0,0,195000,500
20624702,347187,6,3395,203,0,337048,1980,2,0,0,0,336419,384,0,0,2,0,0,0,265000,400
20377937,309460,2,3395,73,0,395196,2007,3,0,0,0,336419,0,0,0,1,0,0,2,279000,225
20147125,347187,5,3395,138,0,347917,1980,2,0,0,0,336419,77,0,0,2,0,0,0,325000,400
20520356,309460,2,3395,78,0,337048,2009,2,0,0,0,336419,0,0,0,1,0,0,0,259000,150
20420618,309460,2,3395,98,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,275000,225
20610854,347187,4,3395,159,0,337048,2016,2,0,0,0,336419,0,0,0,2,0,0,18,449000,75
20540108,309460,1,3395,70,0,347917,1980,3,0,0,0,336419,0,0,0,1,0,0,0,210000,150
20472084,309460,1,3395,37,0,347917,1980,3,0,0,0,336419,0,0,0,1,0,0,0,135000,225
20586176,175424,1,3395,40,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,138000,300
20486699,175424,3,3395,50,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,149000,150
20584455,309460,1,3395,50,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,159000,300
20534118,309460,1,3395,74,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,159500,500
20482979,306182,2,3395,95,0,337048,1980,3,0,0,0,336419,0,1,0,2,0,0,0,200000,300
20591516,347187,5,3395,201,0,337048,1980,3,0,0,0,336419,92,0,0,2,0,0,0,215000,300
20649139,309460,2,3395,126,0,395196,1980,3,0,0,0,336419,0,0,0,1,0,0,0,269000,300
20570625,309460,2,3395,70,0,337048,2002,3,0,0,0,336419,0,0,0,1,0,0,0,335000,150
20622424,309460,3,3395,77,0,395196,1966,3,0,0,0,336419,0,0,0,1,0,0,0,239000,225
20556754,309460,2,3395,74,0,337048,1972,3,0,0,0,336419,0,0,0,1,0,0,0,295000,75
20643613,309460,1,3395,57,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,235000,225
20643632,309460,2,3395,113,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,385000,225
20493617,175424,3,3395,50,0,337048,1964,2,0,0,0,336419,0,0,0,1,0,0,0,197500,150
20455018,309460,2,3395,95,0,347917,1980,3,0,0,0,336419,0,0,0,1,0,0,5,479000,75
20619435,175424,3,3395,25,0,395196,1959,3,0,0,0,336419,0,0,0,1,0,0,0,119000,300
